#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
20 em 1 (Brazil);20 em 1 (Brazil);SEGA Master System;;;;;;;;;;;;;;;;;;
4 PAK All Action (Australia) (Unl);4 PAK All Action (Australia) (Unl);SEGA Master System;;;;;;;;;;;;;;;;;;
94 Super World Cup Soccer (Korea);94 Super World Cup Soccer (Korea);SEGA Master System;;;;;;;;;;;;;;;;;;
Ace of Aces (Europe);Ace of Aces (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Action Fighter (USA, Europe) (Rev 2);Action Fighter (USA, Europe) (Rev 2);SEGA Master System;;;;;;;;;;;;;;;;;;
Addams Family, The (Europe);Addams Family, The (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Aerial Assault (USA);Aerial Assault (USA);SEGA Master System;;;;;;;;;;;;;;;;;;
After Burner (World);After Burner (World);SEGA Master System;;;;;;;;;;;;;;;;;;
Air Rescue (Europe);Air Rescue (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Aladdin (Europe);Aladdin (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Alex Kidd - High-Tech World (USA, Europe);Alex Kidd - High-Tech World (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Alex Kidd - The Lost Stars (World);Alex Kidd - The Lost Stars (World);SEGA Master System;;;;;;;;;;;;;;;;;;
Alex Kidd BMX Trial (Japan);Alex Kidd BMX Trial (Japan);SEGA Master System;;;;;;;;;;;;;;;;;;
Alex Kidd in Miracle World (USA, Europe) (Rev 1);Alex Kidd in Miracle World (USA, Europe) (Rev 1);SEGA Master System;;;;;;;;;;;;;;;;;;
Alex Kidd in Shinobi World (USA, Europe);Alex Kidd in Shinobi World (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Alf (USA);Alf (USA);SEGA Master System;;;;;;;;;;;;;;;;;;
Alien 3 (Europe);Alien 3 (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Alien Storm (Europe);Alien Storm (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Alien Syndrome (USA, Europe);Alien Syndrome (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Altered Beast (USA, Europe);Altered Beast (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Andre Agassi Tennis (Europe);Andre Agassi Tennis (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Arcade Smash Hits (Europe);Arcade Smash Hits (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Argos no Juujiken (Japan) (T);Argos no Juujiken (Japan) (T);SEGA Master System;;;;;;;;;;;;;;;;;;
Ariel - The Little Mermaid (Brazil);Ariel - The Little Mermaid (Brazil);SEGA Master System;;;;;;;;;;;;;;;;;;
Assault City (Europe);Assault City (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Asterix (Europe) (En,Fr) (Rev 1);Asterix (Europe) (En,Fr) (Rev 1);SEGA Master System;;;;;;;;;;;;;;;;;;
Asterix and the Great Rescue (Europe) (En,Fr,De,Es,It);Asterix and the Great Rescue (Europe) (En,Fr,De,Es,It);SEGA Master System;;;;;;;;;;;;;;;;;;
Asterix and the Secret Mission (Europe) (En,Fr,De);Asterix and the Secret Mission (Europe) (En,Fr,De);SEGA Master System;;;;;;;;;;;;;;;;;;
Astro Warrior & Pit Pot (Europe);Astro Warrior & Pit Pot (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Astro Warrior (Japan, USA);Astro Warrior (Japan, USA);SEGA Master System;;;;;;;;;;;;;;;;;;
Ayrton Senna's Super Monaco GP II (Europe);Ayrton Senna's Super Monaco GP II (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Aztec Adventure - The Golden Road to Paradise (World);Aztec Adventure - The Golden Road to Paradise (World);SEGA Master System;;;;;;;;;;;;;;;;;;
Back to the Future Part II (Europe);Back to the Future Part II (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Back to the Future Part III (Europe);Back to the Future Part III (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Baku Baku Animal (Brazil);Baku Baku Animal (Brazil);SEGA Master System;;;;;;;;;;;;;;;;;;
Bank Panic (Europe);Bank Panic (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Basket Ball Nightmare (Europe);Basket Ball Nightmare (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Batman Returns (Europe);Batman Returns (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Battle Out Run (Europe);Battle Out Run (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Battlemaniacs (Brazil);Battlemaniacs (Brazil);SEGA Master System;;;;;;;;;;;;;;;;;;
Black Belt (USA, Europe);Black Belt (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Blade Eagle (World);Blade Eagle (World);SEGA Master System;;;;;;;;;;;;;;;;;;
Bomber Raid (World);Bomber Raid (World);SEGA Master System;;;;;;;;;;;;;;;;;;
Bonanza Bros. (Europe);Bonanza Bros. (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Bonkers Wax Up! (Brazil);Bonkers Wax Up! (Brazil);SEGA Master System;;;;;;;;;;;;;;;;;;
Bram Stoker's Dracula (Europe);Bram Stoker's Dracula (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Bubble Bobble (Europe);Bubble Bobble (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Buggy Run (Europe);Buggy Run (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
California Games (USA, Europe);California Games (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
California Games II (Europe);California Games II (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Captain Silver (USA);Captain Silver (USA);SEGA Master System;;;;;;;;;;;;;;;;;;
Casino Games (USA, Europe);Casino Games (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Castelo Ra-Tim-Bum (Brazil);Castelo Ra-Tim-Bum (Brazil);SEGA Master System;;;;;;;;;;;;;;;;;;
Castle of Illusion Starring Mickey Mouse (USA);Castle of Illusion Starring Mickey Mouse (USA);SEGA Master System;;;;;;;;;;;;;;;;;;
