#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
3 Ninjas Kick Back;3 Ninjas Kick Back;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
3 Ninjas Kick Back (USA);3 Ninjas Kick Back (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
6-Pak (USA);6-Pak (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
688 Attack Sub (USA, Europe);688 Attack Sub (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
AAAHH!!! Real Monsters (USA);AAAHH!!! Real Monsters (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
ATP Tour Championship Tennis (USA);ATP Tour Championship Tennis (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
AWS Pro Moves Soccer (USA);AWS Pro Moves Soccer (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Action 52 (USA) (Unl);Action 52 (USA) (Unl);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Addams Family;Addams Family;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Addams Family Values (Europe);Addams Family Values (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Addams Family, The (USA, Europe);Addams Family, The (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Advanced Busterhawk Gleylancer;Advanced Busterhawk Gleylancer;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Adventures of Batman & Robin;Adventures of Batman & Robin;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Adventures of Batman & Robin, The (USA);Adventures of Batman & Robin, The (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Adventures of Mighty Max, The (USA);Adventures of Mighty Max, The (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Adventures of Rocky and Bullwinkle and Friends, The (USA);Adventures of Rocky and Bullwinkle and Friends, The (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Aero the Acro-Bat;Aero the Acro-Bat;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Aero the Acro-Bat (USA);Aero the Acro-Bat (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Aero the Acro-Bat 2 (USA);Aero the Acro-Bat 2 (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Aerobiz (USA);Aerobiz (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Aerobiz Supersonic (USA);Aerobiz Supersonic (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
After Burner II (USA, Europe);After Burner II (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Air Buster (USA);Air Buster (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Air Diver (USA);Air Diver (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
AladdinMD;AladdinMD;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Alex Kidd in the Enchanted Castle (USA);Alex Kidd in the Enchanted Castle (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Alien 3 (USA, Europe) (Rev A);Alien 3 (USA, Europe) (Rev A);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Alien Soldier;Alien Soldier;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Alien Soldier (Europe);Alien Soldier (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Alien Storm (World);Alien Storm (World);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Alien3MD;Alien3MD;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Alisia Dragoon;Alisia Dragoon;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Alisia Dragoon (USA);Alisia Dragoon (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Altered Beast (USA, Europe);Altered Beast (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
American Gladiators (USA);American Gladiators (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Andre Agassi Tennis (USA);Andre Agassi Tennis (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Animaniacs (USA);Animaniacs (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Aquatic Games Starring James Pond and the Aquabats, The (USA, Europe);Aquatic Games Starring James Pond and the Aquabats, The (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Arcade Classics (USA, Europe);Arcade Classics (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Arch Rivals - The Arcade Game (USA, Europe);Arch Rivals - The Arcade Game (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Arcus Odyssey (USA);Arcus Odyssey (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Ariel the Little Mermaid (USA, Europe);Ariel the Little Mermaid (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Arnold Palmer Tournament Golf (USA, Europe);Arnold Palmer Tournament Golf (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Arrow Flash (USA, Europe);Arrow Flash (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Art Alive (World);Art Alive (World);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Art of Fighting (USA);Art of Fighting (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Asterix and the Great Rescue (USA);Asterix and the Great Rescue (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Asterix and the Power of the Gods (Europe);Asterix and the Power of the Gods (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
