#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
2020bb;2020bb;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
3countb;3countb;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
Adkworld;Adkworld;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
Breakers;Breakers;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
Ironclad;Ironclad;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
RallyChase;RallyChase;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
alpham2;alpham2;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
aodk;aodk;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
aof;aof;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
aof2;aof2;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
aof3;aof3;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
b2b;b2b;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
bjourney;bjourney;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
bstars;bstars;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
bstars2;bstars2;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
burningf;burningf;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
crswd2bl;crswd2bl;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
crsword;crsword;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
cyberlip;cyberlip;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
doubledr;doubledr;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
fatfursp;fatfursp;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
fatfury1;fatfury1;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
fatfury2;fatfury2;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
fatfury3;fatfury3;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
fbfrenzy;fbfrenzy;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
galaxyfg;galaxyfg;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
gowcaizr;gowcaizr;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
