#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
ActRaiser;ActRaiser;Super Nintendo;;;;;;;;;;;;;;;;;;
Aladdin;Aladdin;Super Nintendo;;;;;;;;;;;;;;;;;;
Alien III;Alien III;Super Nintendo;;;;;;;;;;;;;;;;;;
Alien vs Predator;Alien vs Predator;Super Nintendo;;;;;;;;;;;;;;;;;;
Ardy Lightfoot;Ardy Lightfoot;Super Nintendo;;;;;;;;;;;;;;;;;;
Axelay;Axelay;Super Nintendo;;;;;;;;;;;;;;;;;;
Batman Returns;Batman Returns;Super Nintendo;;;;;;;;;;;;;;;;;;
Battletoads and Double Dragon;Battletoads and Double Dragon;Super Nintendo;;;;;;;;;;;;;;;;;;
Battletoads in Battlemaniacs;Battletoads in Battlemaniacs;Super Nintendo;;;;;;;;;;;;;;;;;;
Biker Mice from Mars;Biker Mice from Mars;Super Nintendo;;;;;;;;;;;;;;;;;;
Blackthorne;Blackthorne;Super Nintendo;;;;;;;;;;;;;;;;;;
Choplifter III;Choplifter III;Super Nintendo;;;;;;;;;;;;;;;;;;
Chrono Trigger;Chrono Trigger;Super Nintendo;;;;;;;;;;;;;;;;;;
Contra III;Contra III;Super Nintendo;;;;;;;;;;;;;;;;;;
Cybernator;Cybernator;Super Nintendo;;;;;;;;;;;;;;;;;;
Death and Return of Superman;Death and Return of Superman;Super Nintendo;;;;;;;;;;;;;;;;;;
Demons Crest;Demons Crest;Super Nintendo;;;;;;;;;;;;;;;;;;
Donkey Kong Country I;Donkey Kong Country I;Super Nintendo;;;;;;;;;;;;;;;;;;
Donkey Kong Country II;Donkey Kong Country II;Super Nintendo;;;;;;;;;;;;;;;;;;
Donkey Kong Country III;Donkey Kong Country III;Super Nintendo;;;;;;;;;;;;;;;;;;
E.V.O;E.V.O;Super Nintendo;;;;;;;;;;;;;;;;;;
EarthBound;EarthBound;Super Nintendo;;;;;;;;;;;;;;;;;;
F Zero;F Zero;Super Nintendo;;;;;;;;;;;;;;;;;;
Final Fight II;Final Fight II;Super Nintendo;;;;;;;;;;;;;;;;;;
Final Fight III;Final Fight III;Super Nintendo;;;;;;;;;;;;;;;;;;
Firemen;Firemen;Super Nintendo;;;;;;;;;;;;;;;;;;
Firepower 2000 (USA);Firepower 2000 (USA);Super Nintendo;;;;;;;;;;;;;;;;;;
First Samurai;First Samurai;Super Nintendo;;;;;;;;;;;;;;;;;;
Flashback;Flashback;Super Nintendo;;;;;;;;;;;;;;;;;;
Ghoul Patrol;Ghoul Patrol;Super Nintendo;;;;;;;;;;;;;;;;;;
Goof Troop;Goof Troop;Super Nintendo;;;;;;;;;;;;;;;;;;
Great Circus Mystery;Great Circus Mystery;Super Nintendo;;;;;;;;;;;;;;;;;;
Hagane;Hagane;Super Nintendo;;;;;;;;;;;;;;;;;;
Harvest Moon;Harvest Moon;Super Nintendo;;;;;;;;;;;;;;;;;;
Illusion of Gaia;Illusion of Gaia;Super Nintendo;;;;;;;;;;;;;;;;;;
Imperium (USA);Imperium (USA);Super Nintendo;;;;;;;;;;;;;;;;;;
Jim Power - The Lost Dimension in 3D;Jim Power - The Lost Dimension in 3D;Super Nintendo;;;;;;;;;;;;;;;;;;
Joe & Mac 2 - Lost in the Tropics;Joe & Mac 2 - Lost in the Tropics;Super Nintendo;;;;;;;;;;;;;;;;;;
Jurassic Park I;Jurassic Park I;Super Nintendo;;;;;;;;;;;;;;;;;;
Kirby Super Star;Kirby Super Star;Super Nintendo;;;;;;;;;;;;;;;;;;
Kirby's Avalanche (USA);Kirby's Avalanche (USA);Super Nintendo;;;;;;;;;;;;;;;;;;
Kirby's Dream Course (USA);Kirby's Dream Course (USA);Super Nintendo;;;;;;;;;;;;;;;;;;
Kirby's Dream Land 3;Kirby's Dream Land 3;Super Nintendo;;;;;;;;;;;;;;;;;;
Krusty's Super Fun House;Krusty's Super Fun House;Super Nintendo;;;;;;;;;;;;;;;;;;
Legend of Zelda Link to the Past;Legend of Zelda Link to the Past;Super Nintendo;;;;;;;;;;;;;;;;;;
Legend of the Mystical Ninja;Legend of the Mystical Ninja;Super Nintendo;;;;;;;;;;;;;;;;;;
Lion King, The;Lion King, The;Super Nintendo;;;;;;;;;;;;;;;;;;
Lost Vikings I;Lost Vikings I;Super Nintendo;;;;;;;;;;;;;;;;;;
Lost Vikings II;Lost Vikings II;Super Nintendo;;;;;;;;;;;;;;;;;;
Magical Quest;Magical Quest;Super Nintendo;;;;;;;;;;;;;;;;;;
Maui Mallard in Cold Shadow;Maui Mallard in Cold Shadow;Super Nintendo;;;;;;;;;;;;;;;;;;
Mega Man 7;Mega Man 7;Super Nintendo;;;;;;;;;;;;;;;;;;
Mega Man Soccer;Mega Man Soccer;Super Nintendo;;;;;;;;;;;;;;;;;;
Mega Man X1;Mega Man X1;Super Nintendo;;;;;;;;;;;;;;;;;;
Mega Man X2;Mega Man X2;Super Nintendo;;;;;;;;;;;;;;;;;;
Mega Man X3;Mega Man X3;Super Nintendo;;;;;;;;;;;;;;;;;;
Metal Warriors;Metal Warriors;Super Nintendo;;;;;;;;;;;;;;;;;;
Micro Machines 2;Micro Machines 2;Super Nintendo;;;;;;;;;;;;;;;;;;
